airport,pagerank
BFB,0.0010786907781544304
SLQ,0.0010770261878019665
KAE,0.0010746127439136921
IGG,0.0010715298106212853
OBU,0.001070404826941975
DSI,0.001067769616533963
TUP,0.0010571739083945083
KNW,0.00103718658344885
WRG,0.0010350684396898205
PDB,0.0010347294040659561
ABI,0.0010331447815383852
AIN,0.0010330394779653313
HTS,0.0010206164466808163
ITH,0.0010165848866063038
COU,0.0010146470931721126
MHK,0.0010135169858555505
ITO,0.0010107572845261374
GRK,0.0010092559013879653
ZXH,9.976453239568899E-4
WMK,9.976453239568899E-4
IRC,9.912550720926345E-4
STG,9.90692822681557E-4
KCG,9.712195039903976E-4
AGN,9.628009294067451E-4
KEK,9.533321887127961E-4
BVU,9.483289529508694E-4
ORH,9.463502184254082E-4
LSV,9.376205411673796E-4
PTU,9.28232691505386E-4
7AK,9.268095612992367E-4
FAY,9.266994028002387E-4
SQL,9.265494439681932E-4
HYA,9.265017136992031E-4
KLW,9.248487236565282E-4
CWA,9.246666471197333E-4
SGU,9.236968704991394E-4
BKW,9.223992905358887E-4
MKC,9.199186076844502E-4
JZT,9.192217530948819E-4
PBG,9.155828978405042E-4
SVS,9.125548489814791E-4
EAA,9.083775894338049E-4
CLL,9.046501884418463E-4
HHH,9.021408992933668E-4
PRB,9.007895937295661E-4
SSI,8.953038068857951E-4
DJN,8.874205808585511E-4
PWK,8.863300453703901E-4
NIB,8.765975340010677E-4
DPA,8.754633512831171E-4
MLU,8.742878729155842E-4
PTL,8.730321174293826E-4
MMH,8.692046360778573E-4
HNS,8.63491606352602E-4
KCQ,8.577400654455209E-4
VQS,8.568174112086761E-4
MKK,8.51191429555077E-4
SMX,8.456452613706351E-4
TKE,8.442965167569514E-4
PTA,8.430546467324673E-4
KGK,8.419741821125577E-4
MHR,8.38560603236829E-4
GKN,8.376934611308112E-4
UGS,8.359296981045981E-4
RMP,8.247221835400006E-4
YKM,8.231875904006798E-4
ORL,8.214235793220965E-4
LBE,8.161633138972285E-4
1G4,8.155558994345312E-4
FYV,8.079741105412061E-4
FRD,7.986976216257542E-4
ATK,7.831438170870561E-4
PDK,7.783723039318432E-4
VRB,7.779350709171172E-4
SKW,7.748385705517373E-4
KEB,7.740497864686508E-4
TCL,7.700426742153036E-4
ABY,7.642964386826523E-4
KCL,7.639204895881673E-4
JRV,7.547202374373599E-4
CKB,7.529389009320379E-4
NLG,7.519389033268872E-4
